epoch, wall, LR,training_loss_f,training_loss,training_f_mae,training_f_rmse,validation_loss_f,validation_loss,validation_f_mae,validation_f_rmse
       187,   32.088,     0.01,        0.0048292,        0.0048292,       0.0221,        0.033,          0.36886,          0.36886,        0.125,        0.289
       188,   32.528,     0.01,        0.0034481,        0.0034481,       0.0185,       0.0279,          0.38239,          0.38239,        0.129,        0.294
       189,   32.828,     0.01,        0.0044916,        0.0044916,        0.022,       0.0319,          0.36471,          0.36471,        0.125,        0.287
       190,   33.052,     0.01,        0.0037208,        0.0037208,       0.0193,        0.029,          0.36954,          0.36954,        0.126,        0.289
       191,   33.233,     0.01,        0.0045812,        0.0045812,       0.0221,       0.0322,          0.36722,          0.36722,        0.124,        0.288
       192,   33.404,     0.01,        0.0032583,        0.0032583,       0.0183,       0.0271,           0.3715,           0.3715,        0.126,         0.29
       193,   33.628,     0.01,        0.0042131,        0.0042131,       0.0207,       0.0309,          0.38241,          0.38241,        0.124,        0.294
       194,   33.832,     0.01,        0.0037131,        0.0037131,       0.0189,        0.029,          0.36579,          0.36579,        0.125,        0.288
       195,   34.010,     0.01,        0.0035918,        0.0035918,       0.0182,       0.0285,          0.37284,          0.37284,        0.122,         0.29
       196,   34.296,     0.01,        0.0028699,        0.0028699,       0.0174,       0.0255,          0.38021,          0.38021,        0.124,        0.293
       197,   34.471,     0.01,        0.0024232,        0.0024232,       0.0146,       0.0234,          0.37141,          0.37141,        0.124,         0.29
       198,   34.643,     0.01,        0.0029515,        0.0029515,       0.0163,       0.0258,          0.38811,          0.38811,        0.124,        0.296
       199,   34.812,     0.01,        0.0035947,        0.0035947,       0.0171,       0.0285,          0.36904,          0.36904,        0.124,        0.289
       200,   35.110,     0.01,        0.0022992,        0.0022992,       0.0141,       0.0228,          0.37273,          0.37273,        0.124,         0.29
