epoch, batch, loss, loss_f, f_mae, f_rmse
   74,     4,         0.006332,         0.006332,         0.028884,         0.037836
   74,     5,        0.0087128,        0.0087128,         0.028097,         0.044382
   75,     1,        0.0048143,        0.0048143,         0.022022,         0.032991
   75,     2,         0.015893,         0.015893,         0.045824,         0.059943
   75,     3,         0.018746,         0.018746,         0.048887,         0.065101
   75,     4,        0.0049508,        0.0049508,         0.023412,         0.033456
   75,     5,         0.026098,         0.026098,         0.040577,         0.076812
   76,     1,        0.0026733,        0.0026733,         0.018552,         0.024584
   76,     2,        0.0018253,        0.0018253,         0.015972,         0.020314
   76,     3,         0.014057,         0.014057,         0.042624,         0.056373
   76,     4,         0.021324,         0.021324,         0.052931,         0.069434
   76,     5,        0.0050042,        0.0050042,         0.021556,         0.033636
   77,     1,        0.0070884,        0.0070884,         0.025284,         0.040032
   77,     2,         0.016266,         0.016266,         0.046946,         0.060641
   77,     3,         0.017648,         0.017648,          0.04938,         0.063166
   77,     4,        0.0035648,        0.0035648,         0.022233,         0.028389
   77,     5,        0.0040202,        0.0040202,          0.01957,         0.030148
   78,     1,         0.015128,         0.015128,         0.044295,         0.058481
   78,     2,         0.003109,         0.003109,         0.020989,         0.026512
   78,     3,        0.0026092,        0.0026092,          0.01713,         0.024288
   78,     4,        0.0090192,        0.0090192,         0.028323,         0.045156
   78,     5,         0.017794,         0.017794,         0.049139,         0.063426
   79,     1,        0.0026474,        0.0026474,         0.018001,         0.024465
   79,     2,        0.0028537,        0.0028537,         0.017586,           0.0254
   79,     3,         0.012388,         0.012388,         0.042651,         0.052922
   79,     4,         0.014027,         0.014027,         0.041451,         0.056314
   79,     5,          0.00986,          0.00986,         0.022755,         0.047214
   80,     1,          0.00336,          0.00336,         0.021291,         0.027561
   80,     2,        0.0055927,        0.0055927,         0.021277,         0.035558
   80,     3,         0.010664,         0.010664,         0.037324,         0.049101
   80,     4,         0.013963,         0.013963,         0.043619,         0.056185
   80,     5,         0.010718,         0.010718,         0.027138,         0.049225
   81,     1,        0.0017504,        0.0017504,           0.0155,         0.019893
   81,     2,        0.0098818,        0.0098818,         0.035954,         0.047266
   81,     3,        0.0062134,        0.0062134,         0.022515,          0.03748
   81,     4,         0.019366,         0.019366,         0.051035,         0.066169
   81,     5,        0.0073671,        0.0073671,         0.025347,         0.040811
   82,     1,          0.01396,          0.01396,         0.043426,         0.056178
   82,     2,         0.012689,         0.012689,         0.042335,         0.053561
   82,     3,        0.0034268,        0.0034268,         0.020664,         0.027834
   82,     4,        0.0062599,        0.0062599,         0.025827,          0.03762
   82,     5,         0.003506,         0.003506,         0.019475,         0.028154
   83,     1,        0.0046713,        0.0046713,         0.019165,         0.032497
   83,     2,         0.010112,         0.010112,         0.035932,         0.047812
   83,     3,        0.0032798,        0.0032798,         0.018821,         0.027231
   83,     4,        0.0077358,        0.0077358,         0.024898,          0.04182
   83,     5,         0.012736,         0.012736,         0.042194,          0.05366
   84,     1,        0.0081341,        0.0081341,         0.034891,         0.042883
   84,     2,        0.0030185,        0.0030185,         0.019379,         0.026123
   84,     3,        0.0065189,        0.0065189,         0.026078,          0.03839
   84,     4,        0.0098707,        0.0098707,         0.036186,          0.04724
   84,     5,        0.0060208,        0.0060208,         0.021487,         0.036894
   85,     1,        0.0023653,        0.0023653,         0.017993,         0.023125
   85,     2,        0.0089402,        0.0089402,         0.032487,         0.044958
   85,     3,         0.014543,         0.014543,         0.042304,         0.057341
   85,     4,         0.003521,         0.003521,         0.020651,         0.028214
   85,     5,        0.0086521,        0.0086521,         0.028805,         0.044227
   86,     1,         0.010691,         0.010691,         0.036779,         0.049163
   86,     2,        0.0031975,        0.0031975,         0.021147,         0.026886
   86,     3,        0.0095029,        0.0095029,          0.03471,         0.046351
   86,     4,        0.0030605,        0.0030605,         0.016233,         0.026304
   86,     5,        0.0081751,        0.0081751,         0.029371,         0.042991
   87,     1,        0.0088495,        0.0088495,         0.033633,         0.044729
   87,     2,        0.0015856,        0.0015856,          0.01495,         0.018933
   87,     3,        0.0033478,        0.0033478,         0.018256,         0.027511
   87,     4,        0.0086374,        0.0086374,          0.03505,          0.04419
   87,     5,        0.0054084,        0.0054084,         0.021075,         0.034968
   88,     1,        0.0090116,        0.0090116,         0.033984,         0.045137
   88,     2,        0.0028706,        0.0028706,         0.014603,         0.025475
   88,     3,        0.0030551,        0.0030551,         0.019272,         0.026281
